Time,IMU1_xt,IMU1_yt,IMU1_zt,IMU1_xr,IMU1_yr,IMU1_zr,IMU2_xt,IMU2_yt,IMU2_zt,IMU2_xr,IMU2_yr,IMU2_zr,EMG1,EMG2,EMG3,EMG4
10,ÿ0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.02,-0.00,0.00,0.00,1,2,3,4
0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,1,2,3,4
0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.02,-0.00,0.00,0.00,1,2,3,4
0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,-0.01,0.01,-0.00,0.00,0.00,1,2,3,4
0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.01,0.03,0.00,0.00,-0.00,1,2,3,4
0.05,0.00,0.00,0.00,0.00,0.00,-0.00,0.04,-0.01,0.03,0.00,-0.00,0.00,1,2,3,4
0.06,0.00,0.00,0.00,0.00,0.00,-0.00,0.04,-0.01,0.02,0.00,-0.00,-0.00,1,2,3,4
0.07,0.00,0.00,0.00,-0.00,-0.00,0.00,0.04,-0.01,0.03,0.00,0.00,0.00,1,2,3,4
0.08,0.00,0.00,0.00,-0.00,-0.00,0.00,0.03,0.00,0.03,0.00,0.00,-0.00,1,2,3,4
0.09,0.00,0.00,0.00,0.00,0.00,-0.00,0.03,-0.01,0.04,0.00,0.00,-0.00,1,2,3,4
0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.01,0.06,0.00,-0.01,0.00,1,2,3,4
0.11,-0.01,0.00,0.00,0.00,-0.00,0.00,0.04,-0.04,0.02,-0.00,-0.00,-0.00,1,2,3,4
0.12,0.00,-0.02,-0.07,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,1,2,3,4
0.13,0.01,0.00,-0.03,0.00,0.00,0.00,0.04,0.00,0.05,-0.00,0.00,-0.00,1,2,3,4
0.14,0.00,0.00,0.00,0.00,0.00,-0.00,0.04,0.00,0.05,0.00,-0.00,-0.00,1,2,3,4
0.15,0.00,0.00,0.03,0.00,-0.00,0.00,0.03,0.00,0.03,-0.00,0.00,-0.00,1,2,3,4
0.16,0.00,-0.01,0.05,0.00,-0.00,0.00,0.03,-0.02,0.02,-0.00,0.00,0.00,1,2,3,4
0.17,0.01,-0.03,-0.05,-0.00,0.00,0.00,0.03,0.00,0.03,-0.00,0.00,0.00,1,2,3,4
0.18,0.00,0.00,-0.01,0.00,-0.00,0.00,0.04,-0.01,0.02,-0.00,-0.00,0.00,1,2,3,4
0.19,0.00,0.00,0.01,0.00,0.00,-0.00,0.04,-0.01,0.02,0.00,-0.00,0.00,1,2,3,4
0.20,-0.01,0.00,0.01,-0.00,-0.00,0.00,0.02,0.00,0.03,0.00,0.00,0.00,1,2,3,4
0.21,0.00,0.00,-0.01,0.00,0.00,0.00,0.02,-0.01,0.00,-0.00,0.00,-0.00,1,2,3,4
0.22,0.00,-0.02,-0.11,0.00,0.00,0.00,0.04,0.00,0.03,-0.00,-0.00,0.00,1,2,3,4
0.23,0.01,0.00,-0.02,-0.00,0.00,0.00,0.05,-0.01,0.04,0.00,0.00,0.00,1,2,3,4
0.24,0.00,-0.01,0.02,-0.00,-0.00,0.00,0.05,-0.01,0.04,0.00,0.00,0.00,1,2,3,4
0.25,0.00,0.00,0.04,0.00,0.00,-0.00,0.04,0.00,0.06,0.00,-0.00,0.00,1,2,3,4
0.26,0.00,0.00,0.02,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,-0.00,1,2,3,4
0.27,-0.02,0.00,-0.06,0.00,0.00,0.00,0.05,0.01,0.04,0.00,0.00,0.00,1,2,3,4
0.28,0.00,0.00,-0.01,0.00,0.00,0.00,0.03,-0.03,0.02,-0.00,-0.00,-0.00,1,2,3,4
0.29,0.00,0.00,0.03,0.00,0.00,0.00,0.03,-0.03,0.02,-0.00,0.00,0.00,1,2,3,4
0.30,0.00,-0.02,0.02,-0.00,0.00,0.00,0.05,-0.01,0.03,-0.00,0.00,0.00,1,2,3,4
0.31,0.00,0.00,0.04,0.00,-0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.32,-0.01,0.00,-0.09,0.00,0.00,-0.00,0.05,0.00,0.02,0.00,0.00,0.00,1,2,3,4
0.33,-0.01,-0.01,-0.03,-0.00,0.00,0.00,0.04,-0.01,0.00,0.00,0.01,0.00,1,2,3,4
0.34,-0.01,0.00,0.00,0.00,0.00,0.00,0.04,-0.01,0.00,0.00,0.00,-0.00,1,2,3,4
0.35,0.00,0.00,0.05,0.00,0.00,-0.00,0.02,-0.02,0.04,-0.00,-0.00,-0.00,1,2,3,4
0.36,0.01,0.00,0.01,-0.00,0.00,0.00,0.03,0.00,0.01,-0.00,0.00,-0.00,1,2,3,4
0.37,-0.01,0.00,-0.07,0.00,-0.00,0.00,0.02,0.00,0.01,-0.00,0.00,-0.00,1,2,3,4
0.38,0.00,-0.01,-0.02,0.00,0.00,0.00,0.04,0.00,0.04,0.00,-0.00,0.00,1,2,3,4
0.39,0.00,0.00,0.05,0.00,0.00,0.00,0.04,0.00,0.04,0.00,-0.00,0.00,1,2,3,4
0.40,0.00,-0.02,0.03,0.00,0.00,-0.00,0.04,0.00,0.03,-0.00,0.00,-0.00,1,2,3,4
0.41,-0.01,-0.01,0.01,0.00,-0.00,0.00,0.03,0.00,0.01,-0.00,0.00,0.00,1,2,3,4
0.43,0.00,0.00,-0.08,0.00,0.00,0.00,0.03,-0.01,0.05,0.00,0.00,-0.00,1,2,3,4
0.44,0.02,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.03,0.00,-0.00,0.00,1,2,3,4
0.44,-0.01,0.00,0.00,-0.00,-0.00,0.00,0.05,0.00,0.03,-0.00,0.00,-0.00,1,2,3,4
0.45,0.00,-0.01,0.04,0.00,0.00,0.00,0.04,0.00,0.04,0.00,0.00,0.00,1,2,3,4
0.46,0.00,-0.01,0.03,-0.00,0.00,0.00,0.04,0.02,0.04,0.00,-0.00,0.00,1,2,3,4
0.47,0.00,-0.01,-0.08,0.00,0.00,0.00,0.04,0.01,0.02,0.00,-0.00,0.00,1,2,3,4
0.49,0.00,0.00,-0.02,0.00,0.00,0.00,0.04,0.00,0.03,-0.00,0.00,0.00,1,2,3,4
0.50,0.01,-0.01,0.00,-0.00,-0.00,-0.00,0.04,0.00,0.03,-0.00,0.00,-0.00,1,2,3,4
0.50,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.03,0.00,0.00,0.00,1,2,3,4
0.52,0.00,-0.02,0.03,0.00,0.00,0.00,0.04,-0.01,0.05,0.00,-0.00,-0.00,1,2,3,4
0.52,0.00,0.00,-0.06,0.00,-0.00,0.00,0.02,0.00,0.00,0.00,-0.00,-0.00,1,2,3,4
0.54,0.00,0.00,-0.03,-0.00,-0.00,-0.00,0.09,0.00,0.00,-0.00,0.00,0.00,1,2,3,4
0.55,0.00,-0.02,0.06,-0.00,0.00,0.00,0.00,0.00,0.03,-0.00,0.00,0.00,1,2,3,4
0.56,-0.01,0.01,0.04,0.00,0.00,-0.00,0.05,0.00,0.02,0.00,-0.01,-0.00,1,2,3,4
0.57,0.00,0.00,0.04,-0.00,0.00,0.00,0.05,0.00,0.06,-0.00,0.00,0.00,1,2,3,4
0.57,0.00,0.00,-0.05,0.00,0.00,0.00,0.05,-0.02,0.02,-0.00,0.00,0.00,1,2,3,4
0.59,0.00,0.00,0.00,-0.00,-0.00,0.00,0.01,0.00,0.00,-0.00,0.00,0.00,1,2,3,4
0.60,0.00,-0.01,0.01,-0.00,0.00,-0.00,0.03,0.00,0.04,0.00,-0.01,0.00,1,2,3,4
0.61,0.00,0.01,0.04,-0.00,-0.00,0.00,0.07,0.00,0.07,-0.00,-0.00,0.00,1,2,3,4
0.62,0.00,0.00,0.06,0.00,0.00,-0.00,0.06,0.00,0.04,-0.00,0.01,0.00,1,2,3,4
0.63,0.00,0.00,-0.04,0.00,0.00,0.00,0.02,-0.01,-0.02,0.00,0.00,-0.00,1,2,3,4
0.64,0.00,0.00,-0.04,0.00,-0.00,0.00,0.04,-0.02,0.03,0.00,-0.01,0.00,1,2,3,4
0.65,-0.01,-0.01,0.00,0.00,0.00,0.00,0.04,0.00,0.06,-0.00,0.01,-0.00,1,2,3,4
0.66,0.00,0.00,0.04,-0.00,0.00,0.00,0.05,-0.02,0.04,-0.00,0.01,0.00,1,2,3,4
0.67,0.00,-0.02,-0.01,-0.00,-0.00,-0.00,0.04,-0.02,-0.01,0.00,-0.01,0.00,1,2,3,4
0.68,-0.01,-0.01,-0.06,0.00,0.00,-0.00,0.02,0.00,0.00,0.00,-0.01,-0.00,1,2,3,4
0.69,0.00,0.01,-0.07,0.00,0.00,-0.00,0.05,-0.02,0.03,0.00,0.01,0.00,1,2,3,4
0.70,0.00,-0.01,0.03,-0.00,0.00,0.00,0.04,-0.01,0.00,-0.00,0.01,-0.00,1,2,3,4
0.71,0.01,0.00,0.01,-0.00,0.00,0.00,0.02,-0.01,0.00,0.00,-0.01,0.00,1,2,3,4
0.72,0.00,0.00,0.07,0.00,0.00,0.00,0.03,0.00,0.00,0.00,-0.01,0.00,1,2,3,4
0.73,0.00,0.00,-0.02,0.00,0.00,-0.00,0.04,0.00,0.04,-0.00,0.00,0.00,1,2,3,4
0.74,0.01,0.00,0.00,-0.00,-0.00,0.00,0.04,0.00,0.07,-0.00,0.01,0.00,1,2,3,4
0.75,0.00,0.00,0.01,-0.00,0.00,0.00,0.02,-0.02,0.01,0.00,-0.00,0.00,1,2,3,4
0.76,0.00,0.00,0.01,0.00,0.00,-0.00,0.03,0.00,0.00,0.00,-0.00,0.00,1,2,3,4
0.77,0.00,-0.02,-0.01,0.00,-0.00,0.00,0.04,-0.01,0.03,0.00,0.00,-0.00,1,2,3,4
0.78,0.00,0.01,-0.07,0.00,0.00,0.00,0.04,-0.02,0.05,-0.00,0.01,0.00,1,2,3,4
0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.05,-0.01,0.02,0.00,0.00,-0.00,1,2,3,4
0.80,0.00,0.00,0.00,0.00,0.00,-0.00,0.03,-0.01,0.02,-0.00,0.00,0.00,1,2,3,4
0.81,0.00,-0.02,0.04,0.00,-0.00,0.00,0.04,-0.03,0.03,0.00,-0.00,-0.00,1,2,3,4
0.82,0.00,-0.03,0.02,0.00,-0.00,0.00,0.05,0.00,0.03,-0.00,0.00,0.00,1,2,3,4
0.83,0.00,0.00,-0.06,-0.00,0.00,0.00,0.03,-0.01,0.00,0.00,0.00,0.00,1,2,3,4
0.84,0.00,-0.02,-0.04,0.00,-0.00,0.00,0.03,-0.02,0.02,0.00,-0.00,-0.00,1,2,3,4
0.85,0.00,-0.01,0.05,0.00,0.00,0.00,0.02,-0.01,0.03,-0.00,0.00,0.00,1,2,3,4
0.86,0.00,0.00,0.04,0.00,0.00,0.00,0.03,-0.02,0.08,-0.00,-0.00,0.00,1,2,3,4
0.87,0.00,0.00,0.05,-0.00,0.00,0.00,0.03,-0.01,0.05,0.00,0.00,0.00,1,2,3,4
0.88,-0.01,0.00,-0.04,-0.00,0.00,-0.00,0.04,0.00,0.00,0.00,0.00,-0.00,1,2,3,4
0.89,0.00,-0.01,0.00,-0.00,0.00,0.00,0.03,0.00,0.03,-0.00,-0.01,-0.00,1,2,3,4
0.90,-0.01,0.00,0.00,0.00,0.00,-0.00,0.04,0.00,0.03,-0.00,-0.00,0.00,1,2,3,4
0.91,0.01,0.00,0.04,-0.00,-0.00,0.00,0.04,-0.01,0.05,0.00,0.00,-0.00,1,2,3,4
0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.01,0.05,-0.00,-0.00,0.00,1,2,3,4
0.93,0.00,-0.02,-0.05,0.00,0.00,0.00,0.04,-0.01,0.00,-0.00,-0.00,0.00,1,2,3,4
0.94,0.00,0.00,0.00,-0.00,0.00,-0.00,0.03,-0.02,0.02,0.00,-0.00,0.00,1,2,3,4
0.95,0.01,0.00,0.04,0.00,0.00,-0.00,0.04,0.00,0.02,0.00,-0.00,-0.00,1,2,3,4
0.96,0.00,0.00,0.06,-0.00,0.00,0.00,0.04,-0.01,0.04,0.00,-0.00,-0.00,1,2,3,4
0.97,0.00,-0.01,0.03,-0.00,0.00,0.00,0.06,-0.01,0.05,-0.00,0.00,-0.00,1,2,3,4
0.98,0.01,-0.02,-0.03,0.00,0.00,0.00,0.04,-0.03,0.00,-0.00,-0.00,0.00,1,2,3,4
0.99,0.00,0.00,0.00,0.00,-0.00,0.00,0.05,0.00,0.02,0.00,-0.00,0.00,1,2,3,4
1.00,0.00,0.00,0.02,-0.00,0.00,0.00,0.03,-0.02,0.03,0.00,-0.00,0.00,1,2,3,4
1.01,0.00,0.00,0.02,0.00,0.00,0.00,0.05,-0.01,0.03,-0.00,0.00,0.00,1,2,3,4
1.02,0.01,0.00,0.05,0.00,-0.00,0.00,0.02,-0.01,0.04,-0.00,-0.00,0.00,1,2,3,4
1.03,0.00,-0.03,-0.05,0.00,0.00,0.00,0.02,-0.01,0.02,-0.00,-0.00,-0.00,1,2,3,4
1.04,0.00,-0.01,0.03,0.00,0.00,0.00,0.03,0.00,0.03,0.00,-0.00,0.00,1,2,3,4
1.05,0.01,-0.01,0.02,0.00,0.00,0.00,0.04,-0.01,0.02,-0.00,0.00,0.00,1,2,3,4
1.06,0.00,0.00,0.00,-0.00,-0.00,0.00,0.03,-0.02,0.02,-0.00,0.00,0.00,1,2,3,4
1.07,0.00,-0.02,-0.06,0.00,0.00,0.00,0.02,0.00,0.01,-0.00,-0.00,0.00,1,2,3,4
1.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.04,0.00,0.02,0.00,-0.00,0.00,1,2,3,4
1.09,-0.01,-0.01,0.05,-0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.00,0.00,1,2,3,4
1.10,0.00,-0.03,0.05,0.00,-0.00,-0.00,0.03,0.00,0.06,0.00,0.00,0.00,1,2,3,4
1.11,-0.01,-0.03,0.02,0.00,-0.00,0.00,0.03,0.00,0.02,-0.00,-0.00,0.00,1,2,3,4
1.12,0.00,-0.01,-0.06,0.00,0.00,0.00,0.03,0.01,0.02,0.00,0.00,0.00,1,2,3,4
1.13,-0.01,0.00,-0.02,0.00,-0.00,-0.00,0.04,0.01,0.01,0.00,0.00,-0.00,1,2,3,4
1.14,0.02,0.00,0.04,-0.00,0.00,0.00,0.04,0.00,0.02,-0.00,0.00,0.00,1,2,3,4
1.15,0.00,0.00,0.03,0.00,0.00,0.00,0.04,0.00,0.01,-0.00,-0.00,0.00,1,2,3,4
1.16,0.01,-0.01,0.05,0.00,0.00,0.00,0.04,-0.01,0.03,0.00,-0.00,0.00,1,2,3,4
1.17,-0.01,0.00,-0.04,0.00,0.00,0.00,0.04,-0.01,0.04,0.00,-0.00,-0.00,1,2,3,4
1.18,0.00,-0.03,0.01,-0.00,0.00,0.00,0.06,-0.01,0.02,-0.00,0.00,0.00,1,2,3,4
1.19,0.00,0.00,0.01,0.00,0.00,0.00,0.03,-0.03,0.03,0.00,0.00,-0.00,1,2,3,4
1.20,0.00,0.00,0.03,-0.00,0.00,0.00,0.04,-0.01,0.07,0.00,-0.00,0.00,1,2,3,4
