Time,IMU1_xt,IMU1_yt,IMU1_zt,IMU1_xr,IMU1_yr,IMU1_zr,IMU2_xt,IMU2_yt,IMU2_zt,IMU2_xr,IMU2_yr,IMU2_zr,EMG1,EMG2,EMG3,EMG4
0.004,-0.02,0.00,0.00,0.00,-0.00,0.00,0.01,-0.01,0.04,0.00,0.00,0.00,53,20,109,44
0.017,0.01,-0.01,0.04,0.00,-0.00,0.00,0.00,-0.01,0.03,0.00,0.00,-0.00,53,21,112,45
0.030,-0.01,-0.01,0.03,0.00,-0.00,0.00,0.02,-0.02,0.00,0.00,-0.00,0.00,54,18,115,44
0.042,0.00,0.01,0.06,-0.00,0.00,-0.00,0.00,-0.04,0.01,0.00,-0.00,0.00,56,19,114,45
0.053,0.00,-0.01,-0.01,0.00,0.00,-0.00,0.00,-0.03,0.02,0.00,0.00,0.00,55,19,118,44
0.064,0.02,-0.01,0.04,0.00,-0.00,0.00,0.01,-0.02,0.00,0.00,-0.00,0.00,56,21,125,45
0.077,0.01,-0.02,0.03,0.00,-0.00,0.00,0.00,-0.03,0.00,0.00,-0.00,-0.00,57,19,125,45
0.089,-0.02,-0.02,0.04,-0.00,0.00,0.00,-0.01,-0.03,0.01,0.00,-0.00,-0.00,59,19,124,46
0.101,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,-0.02,0.02,0.00,0.00,0.00,59,19,125,45
0.112,0.00,0.00,0.00,-0.00,-0.00,0.00,0.02,-0.01,0.03,0.00,0.00,0.00,60,19,126,44
0.123,0.01,-0.01,0.06,0.00,-0.00,0.00,0.01,-0.03,0.00,0.00,-0.00,0.00,62,21,127,45
0.133,0.00,-0.01,0.05,0.00,0.00,0.00,0.00,-0.03,0.01,0.00,-0.00,0.00,62,19,127,46
0.143,0.00,-0.01,-0.04,0.00,0.00,-0.00,0.00,-0.02,0.04,0.00,0.00,-0.00,63,20,128,45
0.153,-0.01,-0.01,0.03,0.00,0.00,0.00,0.01,-0.01,0.03,0.00,-0.00,-0.00,63,20,130,47
0.165,0.00,0.00,0.06,0.00,-0.00,0.00,0.02,-0.03,0.01,0.00,0.00,-0.00,66,19,130,44
0.176,0.00,0.00,0.07,0.00,0.00,0.00,0.02,-0.03,0.02,0.00,-0.00,-0.00,65,18,133,47
0.188,0.00,-0.01,0.07,0.00,-0.00,0.00,0.02,-0.01,0.03,0.00,-0.00,0.00,66,20,133,47
0.200,0.00,-0.02,-0.06,0.00,0.00,0.00,0.01,-0.03,0.02,0.00,0.00,0.00,67,18,134,48
0.213,0.01,0.00,0.01,0.00,0.00,-0.00,0.00,-0.01,0.04,0.00,0.00,0.00,68,19,134,48
0.223,0.00,-0.01,0.06,0.00,0.00,-0.00,-0.01,0.00,0.06,0.00,-0.00,-0.00,69,19,133,49
0.233,0.00,-0.02,0.04,-0.00,0.00,0.00,0.00,-0.03,0.01,0.00,-0.00,0.00,70,20,134,49
0.243,0.00,-0.02,-0.04,-0.00,-0.00,-0.00,0.00,-0.02,0.02,0.00,0.00,0.00,70,20,134,50
0.254,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.02,-0.00,-0.00,0.00,70,19,136,48
0.263,0.00,0.00,0.04,0.00,0.00,0.00,0.01,-0.05,0.03,0.00,0.00,-0.00,71,23,134,50
0.273,0.00,-0.01,0.05,0.00,-0.00,0.00,0.00,-0.03,0.00,-0.00,-0.00,-0.00,70,19,132,50
0.283,0.00,-0.01,0.06,-0.00,0.00,0.00,0.01,-0.02,0.03,0.00,-0.00,0.00,70,21,134,50
0.294,0.00,0.00,-0.02,0.00,0.00,-0.00,0.02,-0.02,0.03,0.00,-0.00,0.00,71,19,133,50
0.304,0.00,-0.03,0.03,0.00,0.00,0.00,0.01,-0.03,0.04,0.00,-0.00,0.00,70,19,135,50
0.314,0.00,-0.02,0.04,0.00,0.00,0.00,0.00,-0.03,0.02,0.00,-0.00,-0.00,71,19,136,50
0.324,0.01,-0.01,0.06,0.00,0.00,-0.00,0.00,-0.02,0.02,0.00,0.00,0.00,71,19,135,52
0.335,0.00,0.00,0.07,0.00,0.00,-0.00,0.00,-0.04,0.03,0.00,-0.00,0.00,70,21,135,50
0.346,0.01,0.00,-0.06,0.00,0.00,-0.00,0.01,-0.03,0.00,0.00,-0.00,0.00,72,21,136,50
0.357,0.01,0.00,0.00,-0.00,0.00,0.00,0.00,-0.03,0.02,0.00,-0.00,0.00,69,18,138,50
0.369,0.00,-0.01,0.04,0.00,0.00,0.00,0.01,-0.03,0.01,0.00,0.00,0.00,70,21,133,49
0.382,0.00,0.00,0.06,-0.00,0.00,0.00,0.02,-0.01,0.02,0.00,-0.00,-0.00,69,18,133,49
0.392,0.00,0.00,0.02,0.00,0.00,0.00,0.01,-0.03,0.03,0.00,0.00,0.00,69,19,133,49
0.403,0.00,-0.01,0.00,0.00,-0.00,0.00,0.00,-0.01,0.02,0.00,-0.00,0.00,69,22,132,49
0.413,0.00,0.00,0.06,-0.00,-0.00,0.00,0.00,-0.02,0.01,0.00,-0.00,0.00,68,18,133,49
0.423,0.00,0.00,0.06,-0.00,-0.00,-0.00,0.01,-0.03,0.03,0.00,-0.00,0.00,68,19,133,48
0.433,0.02,-0.01,0.06,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,67,20,133,47
0.443,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-0.03,0.03,0.00,-0.00,0.00,67,20,135,47
0.453,0.01,0.01,0.03,0.00,0.00,0.00,0.02,-0.04,0.04,-0.00,-0.00,-0.00,66,19,131,47
0.464,0.00,-0.01,0.03,0.00,0.00,0.00,0.03,-0.02,0.00,0.00,-0.00,0.00,67,21,137,46
0.474,-0.01,-0.02,0.06,0.00,0.00,0.00,0.00,-0.02,0.02,-0.00,0.00,0.00,65,20,137,46
0.484,0.00,-0.01,0.10,-0.00,-0.00,0.00,-0.01,-0.02,0.00,-0.00,0.00,-0.00,66,19,138,45
0.494,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,-0.04,0.02,-0.00,0.00,-0.00,66,22,139,47
0.505,0.01,-0.01,0.00,-0.00,0.00,0.00,-0.02,-0.02,0.03,-0.00,-0.00,0.00,65,20,137,44
0.515,0.00,0.00,0.05,-0.00,0.00,-0.00,0.00,-0.02,0.02,-0.00,0.00,0.00,65,21,139,46
0.525,0.00,-0.02,0.08,0.00,-0.00,-0.00,0.00,-0.01,0.01,0.00,0.00,-0.00,64,19,138,46
0.534,0.00,0.00,0.06,0.00,0.00,0.00,0.00,-0.03,0.00,0.00,0.00,-0.00,64,21,137,46
0.546,-0.01,-0.01,-0.05,0.00,0.00,0.00,0.00,-0.04,0.01,0.00,0.00,0.00,64,20,136,46
0.556,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,-0.01,0.01,0.00,0.00,0.00,63,21,137,46
