Time,IMU1_xt,IMU1_yt,IMU1_zt,IMU1_xr,IMU1_yr,IMU1_zr,IMU2_xt,IMU2_yt,IMU2_zt,IMU2_xr,IMU2_yr,IMU2_zr,EMG1,EMG2,EMG3,EMG4
0.009,0.02,-0.01,0.01,0.00,0.00,0.00,0.00,-0.03,0.04,0.00,-0.00,0.00,55,20,112,122
0.020,0.00,0.00,0.08,0.00,0.00,0.00,0.00,-0.03,0.04,0.00,-0.00,0.00,56,20,112,121
0.030,0.00,0.00,0.05,0.00,0.00,0.00,0.00,-0.01,0.02,-0.00,-0.00,0.00,56,19,112,121
0.040,0.01,0.01,-0.03,0.00,0.00,0.00,0.00,-0.02,0.03,-0.00,-0.00,0.00,57,18,111,120
0.051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.06,-0.00,0.00,0.00,59,20,114,124
0.060,0.00,0.00,0.07,-0.00,0.00,0.00,0.02,-0.03,0.07,-0.00,-0.00,-0.00,57,19,120,129
0.070,0.00,0.01,0.05,0.00,0.00,-0.00,0.01,-0.02,0.06,0.00,0.00,0.00,60,20,116,127
0.080,-0.01,0.00,0.07,0.00,0.00,-0.00,0.01,-0.02,0.03,0.00,0.00,0.00,60,19,118,126
0.091,0.02,0.00,-0.04,0.00,0.00,0.00,0.03,-0.03,0.04,0.00,-0.00,0.00,61,19,117,128
0.101,-0.01,-0.01,0.00,0.00,0.00,-0.00,0.03,-0.02,0.04,0.00,0.00,0.00,63,19,118,131
0.111,-0.02,0.00,0.02,-0.00,0.00,0.00,0.00,-0.02,0.04,-0.00,0.00,0.00,62,19,122,131
0.122,-0.01,0.00,0.06,0.00,0.00,0.00,0.00,-0.01,0.01,-0.00,0.00,0.00,62,20,120,130
0.135,0.00,0.00,0.02,0.00,0.00,0.00,0.03,-0.02,0.02,0.00,0.00,0.00,64,18,121,130
0.149,0.00,0.02,-0.02,0.00,0.00,-0.00,0.00,-0.03,0.03,-0.00,0.00,-0.00,66,19,117,126
0.160,0.00,0.01,0.05,-0.00,0.00,0.00,0.01,-0.02,0.03,0.00,-0.00,0.00,65,19,122,130
0.170,0.00,0.00,0.08,0.00,-0.00,0.00,0.01,0.00,0.04,-0.00,0.00,-0.00,67,19,122,132
0.181,0.01,0.02,0.05,0.00,-0.00,0.00,0.02,-0.01,0.00,0.00,0.00,0.00,66,19,119,129
0.191,0.01,0.01,-0.04,0.00,0.00,0.00,0.00,-0.04,0.06,0.00,-0.00,0.00,71,20,122,131
