Time,IMU1_xt,IMU1_yt,IMU1_zt,IMU1_xr,IMU1_yr,IMU1_zr,IMU2_xt,IMU2_yt,IMU2_zt,IMU2_xr,IMU2_yr,IMU2_zr,EMG1,EMG2,EMG3,EMG4
0.005,-0.15,0.02,-0.04,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.015,-0.17,0.00,-0.04,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.026,-0.17,0.02,-0.06,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.036,-0.17,0.01,-0.04,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.046,-0.17,0.02,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.056,-0.18,0.01,-0.04,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.066,-0.17,0.03,-0.06,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.076,-0.18,0.02,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.086,-0.17,0.00,-0.07,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.096,-0.16,0.01,-0.04,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.105,-0.16,0.03,-0.05,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.116,-0.18,0.02,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.126,-0.17,0.02,-0.06,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.136,-0.16,0.02,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.146,-0.17,0.01,-0.03,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.156,-0.19,0.02,-0.04,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.166,-0.14,0.00,-0.06,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.176,-0.19,0.01,-0.06,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.186,-0.18,0.00,-0.06,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.196,-0.17,0.01,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.206,-0.16,0.03,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.216,-0.17,0.02,-0.04,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.226,-0.18,0.01,-0.07,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
0.237,-0.18,0.04,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,3,4
