Time,IMU1_xt,IMU1_yt,IMU1_zt,IMU1_xr,IMU1_yr,IMU1_zr,IMU2_xt,IMU2_yt,IMU2_zt,IMU2_xr,IMU2_yr,IMU2_zr,EMG1,EMG2,EMG3,EMG4
0.005,-0.23,-0.29,-0.51,0,0,0,0.12,-0.01,0.08,0,0,0,959,974,41,13
0.018,-0.25,-0.27,-0.52,0,0,0,0.14,-0.03,0.08,0,0,0,958,974,41,14
0.029,-0.22,-0.27,-0.46,0,0,0,0.14,0.01,0.09,0,0.01,0,958,974,42,14
0.041,-0.23,-0.25,-0.47,0,0,0,0.1,-0.02,0.08,0,0,0,958,973,41,14
0.052,-0.28,-0.3,-0.47,0,0,0,0.12,0,0.11,0,0,0,958,973,41,14
0.065,-0.23,-0.25,-0.5,0,0,0,0.11,-0.03,0.13,0,0,0,957,972,44,14
0.077,-0.24,-0.27,-0.46,0,0,0,0.12,-0.02,0.1,0,0,0,958,974,44,14
0.089,-0.26,-0.28,-0.45,0,0,0,0.12,-0.01,0.09,0,0,0,958,974,43,13
0.102,-0.24,-0.29,-0.47,0,0,0,0.13,-0.01,0.11,0,0,0,959,974,43,14
0.113,-0.24,-0.26,-0.47,0,0,0,0.13,-0.02,0.1,0,0,0,959,974,44,14
0.125,-0.26,-0.29,-0.47,0,0,0,0.13,-0.02,0.08,0,0,0,958,974,42,15
0.137,-0.24,-0.25,-0.49,0,0,0,0.12,-0.03,0.08,0,0,0,959,974,44,14
0.15,-0.27,-0.27,-0.44,0,0,0,0.11,-0.04,0.08,0,0,0,957,974,45,14
0.162,-0.25,-0.28,-0.49,0,0,0,0.12,0,0.1,0,0,0,958,974,44,14
0.173,-0.26,-0.28,-0.47,0,0,0,0.12,-0.02,0.1,0,0,0,958,952,43,14
0.186,-0.26,-0.27,-0.47,0,0,0,0.1,0,0.05,0,0,0,958,890,44,14
0.199,-0.25,-0.28,-0.47,0,0,0,0.11,0,0.06,0,0,0,959,875,44,14
0.211,-0.25,-0.26,-0.46,0,0,0,0.13,-0.03,0.08,0,0,0,958,893,45,14
0.222,-0.25,-0.28,-0.51,0,0,0,0.1,-0.03,0.12,0,0,0,958,905,46,14
0.233,-0.26,-0.27,-0.46,0,0,0,0.12,0,0.08,0,0,0,958,870,46,14
0.244,-0.25,-0.28,-0.48,0,0,0,0.11,-0.01,0.07,0,0,0,958,893,46,13
0.255,-0.25,-0.26,-0.49,0,0,0,0.15,-0.02,0.06,0,0,0,958,897,46,14
0.267,-0.22,-0.27,-0.48,0,0,0,0.12,0,0.07,0,0,0,958,873,46,14
0.28,-0.23,-0.26,-0.47,0,0,0,0.12,-0.03,0.08,0,0,0,959,878,45,15
0.291,-0.25,-0.29,-0.45,0,0,0,0.12,0,0.09,0,0,0,958,901,45,13
0.302,-0.25,-0.27,-0.47,0,0,0,0.12,0,0.09,0,0,0,958,877,45,14
0.313,-0.24,-0.25,-0.48,0,0,0,0.12,-0.01,0.06,0,0,0,958,879,46,13
0.323,-0.23,-0.28,-0.45,0,0,0,0.13,-0.01,0.09,0,0,0,958,901,46,14
0.334,-0.23,-0.27,-0.45,0,0,0,0.12,-0.01,0.09,0,0,0,958,862,47,14
0.344,-0.25,-0.27,-0.47,0,0,0,0.13,-0.03,0.07,0,0,0,958,879,47,14
0.356,-0.23,-0.27,-0.48,0,0,0,0.12,0.01,0.09,0,0,0,958,890,48,14
0.369,-0.26,-0.27,-0.48,0,0,0,0.13,0.01,0.07,0,0,0,958,867,48,15
0.381,-0.24,-0.31,-0.48,0,0,0,0.11,-0.01,0.06,0,0,0,958,852,49,13
0.392,-0.24,-0.24,-0.47,0,0,0,0.11,-0.01,0.08,0,0,0,958,885,49,14
